date,station,predicted_cells,alert_probability,predicted_alert_label,shap_top_1,shap_top_2,shap_top_3,scenario_type,scenario_reason,recommended_action_category
2024-03-04,회남(옥천),4.540153743252437,0.0,0,water_temp,sin_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 4.5 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'turbidity']",일반 관찰 유지
2024-03-11,회남(옥천),3.413824221053324,0.0,0,water_temp,sin_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 3.4 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'turbidity']",일반 관찰 유지
2024-03-18,회남(옥천),0.3638931852923184,0.0,0,water_temp,turbidity,sin_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 0.4 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'sin_season']",일반 관찰 유지
2024-03-25,회남(옥천),1.1578367966056495,0.0,0,water_temp,turbidity,sin_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 1.2 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'sin_season']",일반 관찰 유지
2024-04-01,회남(옥천),0.5280833764051931,0.0,0,water_temp,sin_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 0.5 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'turbidity']",일반 관찰 유지
2024-04-08,회남(옥천),0.5693383407030279,0.0,0,water_temp,sin_season,acc_temp_7d,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 0.6 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'acc_temp_7d']",일반 관찰 유지
2024-04-15,회남(옥천),0.41656341463318336,0.02,0,water_temp,sin_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 0.4 cells/mL (위험도: 2.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'turbidity']",일반 관찰 유지
2024-04-22,회남(옥천),0.3562803913049415,0.0,0,water_temp,sin_season,acc_temp_7d,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 0.4 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'acc_temp_7d']",일반 관찰 유지
2024-04-29,회남(옥천),0.8509888080419543,0.03,0,water_temp,turbidity,sin_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 0.9 cells/mL (위험도: 3.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'sin_season']",일반 관찰 유지
2024-05-07,회남(옥천),0.4628330636911584,0.01,0,water_temp,sin_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 0.5 cells/mL (위험도: 1.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'turbidity']",일반 관찰 유지
2024-05-13,회남(옥천),1.2850831810647176,0.01,0,water_temp,sin_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 1.3 cells/mL (위험도: 1.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'turbidity']",일반 관찰 유지
2024-05-20,회남(옥천),5.467697885002015,0.0,0,water_temp,sin_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 5.5 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'turbidity']",일반 관찰 유지
2024-05-27,회남(옥천),20.970526641920802,0.0,0,water_temp,sin_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 21.0 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'turbidity']",일반 관찰 유지
2024-06-03,회남(옥천),42.19763719304897,0.01,0,water_temp,sin_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 42.2 cells/mL (위험도: 1.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'turbidity']",일반 관찰 유지
2024-06-10,회남(옥천),97.5447186668049,0.0,0,sin_season,water_temp,acc_temp_7d,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 97.5 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['sin_season', 'water_temp', 'acc_temp_7d']",일반 관찰 유지
2024-06-17,회남(옥천),81.22255186535978,0.0,0,sin_season,water_temp,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 81.2 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['sin_season', 'water_temp', 'turbidity']",일반 관찰 유지
2024-06-24,회남(옥천),226.74238884098685,0.0,0,sin_season,water_temp,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 226.7 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['sin_season', 'water_temp', 'turbidity']",일반 관찰 유지
2024-07-01,회남(옥천),250.96405483713005,0.08,1,sin_season,turbidity,acc_temp_7d,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 251.0 cells/mL (위험도: 8.0%). 주요 탐지 요인: ['sin_season', 'turbidity', 'acc_temp_7d']",일반 관찰 유지
2024-07-08,회남(옥천),103.22261538313701,0.04,0,water_temp,sin_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 103.2 cells/mL (위험도: 4.0%). 주요 탐지 요인: ['water_temp', 'sin_season', 'turbidity']",일반 관찰 유지
2024-07-15,회남(옥천),501.96051517064586,0.15,1,sin_season,cos_season,water_temp,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 502.0 cells/mL (위험도: 15.0%). 주요 탐지 요인: ['sin_season', 'cos_season', 'water_temp']",일반 관찰 유지
2024-07-23,회남(옥천),1001.9925534826966,0.44,1,water_temp,turbidity,sin_season,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 1002.0 cells/mL (위험도: 44.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'sin_season']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-07-29,회남(옥천),2426.2918068236827,0.73,1,turbidity,water_temp,acc_temp_7d,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 2426.3 cells/mL (위험도: 73.0%). 주요 탐지 요인: ['turbidity', 'water_temp', 'acc_temp_7d']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-08-05,회남(옥천),2442.400600865643,0.81,1,turbidity,water_temp,sin_season,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 2442.4 cells/mL (위험도: 81.0%). 주요 탐지 요인: ['turbidity', 'water_temp', 'sin_season']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-08-12,회남(옥천),2453.109911805136,0.75,1,turbidity,sin_season,water_temp,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 2453.1 cells/mL (위험도: 75.0%). 주요 탐지 요인: ['turbidity', 'sin_season', 'water_temp']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-08-14,회남(옥천),1977.5911697779466,0.62,1,turbidity,sin_season,water_temp,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 1977.6 cells/mL (위험도: 62.0%). 주요 탐지 요인: ['turbidity', 'sin_season', 'water_temp']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-08-19,회남(옥천),4146.4962984670265,0.83,1,turbidity,water_temp,sin_season,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 4146.5 cells/mL (위험도: 83.0%). 주요 탐지 요인: ['turbidity', 'water_temp', 'sin_season']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-08-22,회남(옥천),3685.516099208824,0.75,1,turbidity,sin_season,water_temp,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 3685.5 cells/mL (위험도: 75.0%). 주요 탐지 요인: ['turbidity', 'sin_season', 'water_temp']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-08-26,회남(옥천),3467.092107664899,0.84,1,turbidity,water_temp,sin_season,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 3467.1 cells/mL (위험도: 84.0%). 주요 탐지 요인: ['turbidity', 'water_temp', 'sin_season']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-08-29,회남(옥천),2288.578315919686,0.79,1,turbidity,sin_season,water_temp,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 2288.6 cells/mL (위험도: 79.0%). 주요 탐지 요인: ['turbidity', 'sin_season', 'water_temp']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-09-02,회남(옥천),2121.5445728208647,0.74,1,turbidity,sin_season,water_temp,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 2121.5 cells/mL (위험도: 74.0%). 주요 탐지 요인: ['turbidity', 'sin_season', 'water_temp']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-09-05,회남(옥천),939.2276303141413,0.75,1,turbidity,sin_season,water_temp,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 939.2 cells/mL (위험도: 75.0%). 주요 탐지 요인: ['turbidity', 'sin_season', 'water_temp']",일반 관찰 유지
2024-09-09,회남(옥천),2243.495887045212,0.86,1,turbidity,water_temp,sin_season,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 2243.5 cells/mL (위험도: 86.0%). 주요 탐지 요인: ['turbidity', 'water_temp', 'sin_season']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-09-12,회남(옥천),2409.9628804208874,0.66,1,turbidity,water_temp,sin_season,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 2410.0 cells/mL (위험도: 66.0%). 주요 탐지 요인: ['turbidity', 'water_temp', 'sin_season']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-09-19,회남(옥천),3054.6255920804138,0.63,1,sin_season,turbidity,water_temp,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 3054.6 cells/mL (위험도: 63.0%). 주요 탐지 요인: ['sin_season', 'turbidity', 'water_temp']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-09-23,회남(옥천),5478.530512221152,0.75,1,sin_season,water_temp,turbidity,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 5478.5 cells/mL (위험도: 75.0%). 주요 탐지 요인: ['sin_season', 'water_temp', 'turbidity']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-09-30,회남(옥천),4449.766853117539,0.63,1,turbidity,water_temp,acc_temp_7d,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 4449.8 cells/mL (위험도: 63.0%). 주요 탐지 요인: ['turbidity', 'water_temp', 'acc_temp_7d']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-10-07,회남(옥천),1903.4443667490832,0.43,1,turbidity,air_temp_7d_mean,sin_season,[🟡 관심] 고온 및 일사량 증가 시나리오,"예측 세포수: 1903.4 cells/mL (위험도: 43.0%). 주요 탐지 요인: ['turbidity', 'air_temp_7d_mean', 'sin_season']",수질 모니터링 주 1회 강화 및 표층 수온 모니터링 및 정수처리 주의
2024-10-14,회남(옥천),930.0437391585302,0.27,1,turbidity,cos_season,pH,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 930.0 cells/mL (위험도: 27.0%). 주요 탐지 요인: ['turbidity', 'cos_season', 'pH']",일반 관찰 유지
2024-10-21,회남(옥천),599.5032910495,0.24,1,cos_season,turbidity,transparency,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 599.5 cells/mL (위험도: 24.0%). 주요 탐지 요인: ['cos_season', 'turbidity', 'transparency']",일반 관찰 유지
2024-10-28,회남(옥천),281.64360147579174,0.1,1,cos_season,air_temp_7d_mean,transparency,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 281.6 cells/mL (위험도: 10.0%). 주요 탐지 요인: ['cos_season', 'air_temp_7d_mean', 'transparency']",일반 관찰 유지
2024-11-04,회남(옥천),47.27036963130909,0.04,0,cos_season,turbidity,air_temp_7d_mean,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 47.3 cells/mL (위험도: 4.0%). 주요 탐지 요인: ['cos_season', 'turbidity', 'air_temp_7d_mean']",일반 관찰 유지
2024-11-11,회남(옥천),118.630377051987,0.0,0,turbidity,cos_season,avg_temp,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 118.6 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['turbidity', 'cos_season', 'avg_temp']",일반 관찰 유지
2024-11-18,회남(옥천),62.94897145823125,0.0,0,water_temp,cos_season,turbidity,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 62.9 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'cos_season', 'turbidity']",일반 관찰 유지
2024-11-25,회남(옥천),77.2920008112071,0.0,0,turbidity,water_temp,cos_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 77.3 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['turbidity', 'water_temp', 'cos_season']",일반 관찰 유지
2024-12-02,회남(옥천),31.883375412254246,0.0,0,water_temp,turbidity,cos_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 31.9 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'cos_season']",일반 관찰 유지
2024-12-09,회남(옥천),26.150886048751357,0.0,0,water_temp,cos_season,avg_temp,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 26.2 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'cos_season', 'avg_temp']",일반 관찰 유지
2024-12-16,회남(옥천),30.489350365725564,0.0,0,water_temp,turbidity,sin_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 30.5 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'sin_season']",일반 관찰 유지
2024-12-23,회남(옥천),35.62782942672416,0.0,0,water_temp,turbidity,sin_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 35.6 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'sin_season']",일반 관찰 유지
2024-12-30,회남(옥천),29.262916843285417,0.0,0,water_temp,turbidity,sin_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 29.3 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'sin_season']",일반 관찰 유지
2025-01-06,회남(옥천),13.155053260109323,0.0,0,water_temp,turbidity,sin_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 13.2 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'sin_season']",일반 관찰 유지
2025-01-13,회남(옥천),4.2776711906261005,0.0,0,water_temp,turbidity,sin_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 4.3 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'sin_season']",일반 관찰 유지
2025-01-20,회남(옥천),7.858590807903278,0.0,0,water_temp,turbidity,sin_season,[🟢 정상] 안정 상태 시나리오,"예측 세포수: 7.9 cells/mL (위험도: 0.0%). 주요 탐지 요인: ['water_temp', 'turbidity', 'sin_season']",일반 관찰 유지
