,count,mean,std,min,25%,50%,75%,max,zero_pct
water_temp,6304.0,15.841434010152284,7.194328700499141,3.3,9.0,16.0,22.5,29.9,0.0
pH,6304.0,7.872842639593908,0.5569446266321734,5.9,7.5,7.8,8.2,10.9,0.0
DO,6304.0,8.785215736040609,2.668994564590962,1.8,6.6,9.05,11.1,13.7,0.0
transparency,6304.0,2.8809327411167516,1.1962431351956175,0.2,2.0,2.8,3.7,8.3,0.0
turbidity,6304.0,4.5128426395939085,7.62369453934923,0.8,1.8,2.5,4.2,123.0,0.0
Chl_a,6304.0,7.598001269035533,6.1711722885429845,1.2,3.8,5.75,9.1,60.7,0.0
cyano_cells,6304.0,3078.4942893401017,11290.88993158704,0.0,0.0,92.0,896.5,206126.0,40.7994923857868
Microcystis,6304.0,2613.4187817258885,10845.855869876033,0.0,0.0,0.0,599.0,205340.0,61.35786802030457
Anabaena,6304.0,64.76015228426395,300.35175246742006,0.0,0.0,0.0,0.0,5614.0,78.36294416243655
Oscillatoria,6304.0,185.58946700507613,854.215139904454,0.0,0.0,0.0,0.0,16260.0,77.98223350253807
Aphanizomenon,6304.0,214.7258883248731,1441.5721474969848,0.0,0.0,0.0,102.25,28732.0,56.598984771573605
acc_temp_7d,6304.0,110.32538071065989,49.41686663247585,7.9,63.6,111.9,155.425,200.4,0.0
TSI_Chla,6304.0,48.22332450399529,6.43131350381516,32.3885744721487,43.69636046464426,47.759279673187066,52.26317199665871,70.87930767802209,0.0
TSI_SD,6304.0,46.272712267799214,7.24665910952492,29.50475803169522,41.14692406884092,45.16318419841952,50.01174912813119,83.19200031817539,0.0
microcystis_ratio,6304.0,0.28655786421208307,0.39541765365638504,0.0,0.0,0.0,0.6847661024482388,0.9999761910430705,61.35786802030457
anabaena_ratio,6304.0,0.05624844997943996,0.18023725853158917,0.0,0.0,0.0,0.0,0.998963730569948,78.36294416243655
oscillatoria_ratio,6304.0,0.043098132920546324,0.13705245540594913,0.0,0.0,0.0,0.0,0.999671592775041,77.98223350253807
aphanizomenon_ratio,6304.0,0.202643945794548,0.3582068261863469,0.0,0.0,0.0,0.17842751842751842,0.9993618379068284,56.598984771573605
water_level,6304.0,72.67427969543147,2.12180008088412,66.09,71.27,72.7316,74.39,77.4476,0.0
storage_vol,6304.0,955.2092196065988,118.03965419131062,611.195,876.2625499999999,950.9158,1050.6689,1258.4823,0.0
storage_rate,6304.0,64.1030774111675,7.922089685270761,41.0,58.815,63.769999999999996,70.51,84.46,0.0
inflow,6304.0,3.989423223350254,12.173391825288142,0.0,0.0,0.0,0.966925,115.6252,57.4238578680203
outflow,6304.0,74.56664467005076,198.17854629317026,4.729,16.26725,24.496,52.056749999999994,2882.408,0.0
rainfall,6304.0,73.05667385786802,188.65299173156686,19.333,31.161,33.2795,54.684,2999.081,0.0
level_change_7d,6304.0,0.030573794416243586,0.8053618508844552,-3.432600000000008,-0.22019999999999834,-0.1200000000000045,0.0435999999999978,7.049999999999997,0.5710659898477157
rain_7d_sum_x,6304.0,517.3335196700509,1160.5987321557895,133.988,219.34550000000024,239.45100000000025,393.7720000000003,15917.892,0.0
inflow_7d_sum,6304.0,24.60604765228425,41.98149208521631,0.0,0.8428999999999964,7.395749999999989,27.273149999999994,299.128,9.200507614213198
outflow_7d_sum,6304.0,536.9821402284265,1229.8756331006591,45.73500000000034,121.02900000000022,183.901,401.3610000000001,16938.711,0.0
residence_proxy,6304.0,38.37723318392582,25.158461018192963,0.3906994778401114,18.37445343244425,36.859033357891036,53.70275577876505,151.4559259905743,0.0
nutrient_stagnation_index,6304.0,22.704421286040983,35.220724234130266,0.0,1.4052622446653233,10.85917121652546,29.483153529187177,320.96816597960293,9.200507614213198
loc_encoded,6304.0,0.998730964467005,0.8178546450836417,0.0,0.0,1.0,2.0,2.0,33.50253807106599
alert_encoded,6304.0,0.2296954314720812,0.4206703125441488,0.0,0.0,0.0,0.0,1.0,77.03045685279187
log_target,6304.0,1.7274360228640977,1.5856602032501297,0.0,0.0,1.968482948553935,2.953034255216376,5.314134882526438,40.7994923857868
next_log_cells,6304.0,1.7299109444195477,1.5844997721828948,0.0,0.0,1.968482948553935,2.953034255216376,5.314134882526438,40.672588832487314
station,6304.0,695.75,112.30399887967559,604.0,633.25,645.5,708.0,888.0,0.0
avg_temp,6304.0,0.6152354305977978,0.20623282339671054,0.0626304801670146,0.4446764091858037,0.6283924843423799,0.7954070981210856,0.9686847599164928,0.0
min_temp,6304.0,0.6010563941974937,0.21826802029163328,0.0372670807453416,0.4099378881987578,0.6066252587991718,0.7991718426501035,0.9917184265010353,0.0
max_temp,6304.0,0.6023631879672926,0.19990511451107837,0.0851926977687626,0.4503042596348884,0.6267748478701826,0.7667342799188641,0.971602434077079,0.0
daily_rain,6304.0,8.67877538071066,29.963525661795234,0.0,0.0,0.0,1.0,419.0,74.61928934010153
max_wind_gust,6304.0,0.10558704094687615,0.03587166912439354,0.0048939641109298,0.0783034257748776,0.1011419249592169,0.1256117455138662,0.2626427406199021,0.0
avg_wind,6304.0,0.22656424681230358,0.11667211874256642,0.0,0.1458333333333333,0.2083333333333333,0.2708333333333333,0.8541666666666666,0.1903553299492386
air_temp_7d_mean,6304.0,0.5830146082045238,0.23824466423283336,0.0,0.3701906412478337,0.6083188908145583,0.7944540727902947,0.9982668977469672,0.04758883248730965
hot_days_30c_7d,6304.0,1.1570431472081217,2.161514418052339,0.0,0.0,0.0,1.0,7.0,71.24048223350253
rain_3d_sum,6304.0,1.272225747320925,2.9084730533242955,0.0,0.0,0.0555555555555555,1.1666666666666667,28.444444444444443,49.984137055837564
rain_7d_sum_y,6304.0,0.6858202275199421,1.6698963711750907,-0.2142857142857142,-0.1964285714285714,0.0178571428571428,0.8214285714285714,14.035714285714286,1.4276649746192893
rain_14d_sum,6304.0,0.5619086048001577,1.4582204298095462,-0.4174757281553398,-0.3203883495145631,0.0194174757281553,0.7378640776699029,11.737864077669904,0.3331218274111675
wind_7d_mean,6304.0,0.37521730060496483,0.13204888642951362,0.0191780821917807,0.28219178082191787,0.36986301369863,0.452054794520548,1.0,0.0
low_wind_days_2ms_7d,6304.0,6.590260152284264,0.7925003432945374,1.0,6.0,7.0,7.0,7.0,0.0
sunshine,6304.0,0.4742495343826461,0.2835017755308163,0.0,0.2428057553956834,0.5467625899280575,0.6978417266187049,0.9712230215827338,8.565989847715736
solar_rad,6304.0,0.4570364578390849,0.22872649279434684,0.0147103892123812,0.28110634385534783,0.4357952804167943,0.6411277965062825,0.9436101746858718,0.0
cloud_cover,6304.0,0.512239847715736,0.2964638956111891,0.0,0.2799999999999999,0.51,0.75,1.0,5.0761421319796955
sunshine_7d_sum,6304.0,0.5036094073134048,0.17834843594156916,0.0185185185185185,0.37962962962962954,0.5185185185185185,0.6203703703703702,0.9861111111111108,0.0
solar_7d_sum,6304.0,0.4714590735277785,0.1847373111949436,0.105890839144025,0.31662659293099304,0.4627073815821111,0.6042317864871365,0.9849483048809812,0.0
cloud_7d_mean,6304.0,0.4757380443494522,0.19352413756247305,0.0191387559808612,0.3365231259968101,0.4609250398724082,0.6124401913875597,0.9952153110047846,0.0
sin_season,6304.0,-0.046215409169465045,0.7142060165454054,-0.99999073973619,-0.7638886127905429,-0.0859647987374467,0.6744436188329455,0.99999073973619,0.0
cos_season,6304.0,-0.025957309118510838,0.6980389164184216,-0.9999629591162656,-0.7086266782644596,-0.0645084494493162,0.6648553979642866,1.0,0.0
year,6304.0,2020.6967005076142,2.8426415598329733,2016.0,2018.0,2021.0,2023.0,2025.0,0.0
month,6304.0,6.668781725888325,3.373714226581146,1.0,4.0,7.0,10.0,12.0,0.0
log_cyano_cells,6304.0,1.7274360228640977,1.5856602032501297,0.0,0.0,1.968482948553935,2.953034255216376,5.314134882526438,40.7994923857868
target_alert_next,6304.0,0.2296954314720812,0.4206703125441488,0.0,0.0,0.0,0.0,1.0,77.03045685279187
